SMILES,Molecule_id,Activity Value [nM],Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1,CHEMBL3935559,10.2,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5150>,570.0497625119999,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1ccnnc1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC6D0>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ncccn1,CHEMBL3928118,6.4,<rdkit.Chem.rdchem.Mol object at 0x00000260064C51C0>,570.049762512,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1ncccn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC740>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1,CHEMBL3900140,2.9,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5230>,570.0497625119999,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1ccncn1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC7B0>,ChEMBL
O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cncnc1,CHEMBL3909054,12.9,<rdkit.Chem.rdchem.Mol object at 0x00000260064C52A0>,570.049762512,8,0,3.7389000000000028,112.52000000000001,0.3333333333333333,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1cncnc1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC820>,ChEMBL
COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,CHEMBL3905561,16.5,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5310>,599.065078228,8,0,4.352500000000004,108.86000000000001,0.34615384615384615,5,13,7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC890>,ChEMBL
O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,CHEMBL3941787,2.8,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5380>,585.0494281640001,7,1,3.6372000000000035,119.60000000000001,0.32,5,13,6,O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC900>,ChEMBL
Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,CHEMBL3984227,18.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C53F0>,584.0654125759999,8,1,3.9261000000000035,125.64999999999999,0.32,5,13,6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccccc3)c3ccccc3OCC12)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC970>,ChEMBL
CC1(C)OCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3629737,66.6,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5460>,498.10792902,5,0,5.2492000000000045,61.83000000000001,0.5,5,9,2,O=S(=O)(c1ccccc1)[C@@]12CCCC3(COCOC3)[C@@H]1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FC9E0>,ChEMBL
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,CHEMBL3629739,10.1,<rdkit.Chem.rdchem.Mol object at 0x00000260064C54D0>,440.066064208,4,0,4.496500000000004,52.60000000000001,0.42857142857142855,5,8,2,O=S(=O)(c1ccccc1)[C@@]12CCCC3(COC3)[C@@H]1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCA50>,ChEMBL
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1c(F)ccc(F)c12,CHEMBL3629738,13.9,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5540>,454.081714272,4,0,4.886600000000004,52.60000000000001,0.45454545454545453,5,8,2,O=S(=O)(c1ccccc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCAC0>,ChEMBL
O=C1OCC[C@]12CCC[C@@]1(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]21,CHEMBL3629740,228.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C55B0>,468.060978828,5,0,4.413200000000004,69.67,0.4090909090909091,5,9,2,O=C1OCC[C@]12CCC[C@@]1(S(=O)(=O)c3ccccc3)c3ccccc3OC[C@@H]21,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCB30>,ChEMBL
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1c(F)ccc(F)c12,CHEMBL3629742,26.4,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5620>,484.074520716,4,0,5.993300000000005,43.370000000000005,0.4782608695652174,5,8,2,O=S(=O)(c1ccccc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCBA0>,ChEMBL
O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CC1,CHEMBL3629741,57.7,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5690>,516.064349956,5,0,4.674900000000004,77.51,0.4782608695652174,5,10,2,O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCC10>,ChEMBL
O=S(=O)(N1CC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)C1)C(F)(F)F,CHEMBL3629743,23.3,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5700>,585.046983552,5,0,5.021600000000004,80.75000000000001,0.4782608695652174,5,14,3,O=S(=O)(c1ccccc1)[C@@]12CCC[C@]3(CCNC3)[C@@H]1COc1ccccc12,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCC80>,ChEMBL
C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3899794,9.5,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5770>,518.053130174,6,0,5.336000000000004,78.9,0.45454545454545453,5,11,2,O=[PH]1OCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCCF0>,ChEMBL
C[P@]1(=O)OC[C@@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3936795,421.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C57E0>,518.053130174,6,0,5.336000000000004,78.9,0.45454545454545453,5,11,2,O=[PH]1OCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCD60>,ChEMBL
C[P@]1(=O)OC[C@@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3905228,397.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5850>,552.0794871540002,6,0,5.701400000000004,78.9,0.4782608695652174,5,13,2,O=[PH]1OCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCDD0>,ChEMBL
C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3942223,79.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C58C0>,552.0794871540002,6,0,5.701400000000004,78.9,0.4782608695652174,5,13,2,O=[PH]1OCC2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCE40>,ChEMBL
