Molecule_id,Activity Value [nM],SMILES,Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
166631840,4.8,CC1=NC(=CO1)C(=O)NC2=CC(=C(C=C2)F)[C@@]3(CN4C(=CC(=N4)C#N)C(=N3)N)C,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16AB0>,393.13495097200007,8,2,2.0768999999999997,135.12,0.21052631578947367,4,10,3,O=C(Nc1cccc(C2Cn3nccc3C=N2)c1)c1cocn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BE60>,PubChem
166633393,1.0,C[C@]1(CN2C(=CC(=N2)C#N)C(=N1)N)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)OC(F)F)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16B20>,455.13175741199996,8,2,2.776880000000001,131.21,0.19047619047619047,4,12,5,O=C(Nc1cccc(C2Cn3nccc3C=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BED0>,PubChem
89951906,10.0,C[C@]1(CO[C@@](C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=N2)NC(=O)C3=C(C=C(C=N3)Cl)Cl)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16B90>,479.05389296000004,6,2,4.0984000000000025,102.49,0.3333333333333333,3,13,3,O=C(Nc1cccc(C2COCC=N2)n1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E4BF40>,PubChem
89951897,26.0,C[C@]1(CO[C@@](C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=N2)NC(=O)C3=NC=C(N=C3N)C(F)(F)F)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16C00>,495.12537029200007,8,3,2.7876000000000003,141.4,0.3888888888888889,3,16,3,O=C(Nc1cccc(C2COCC=N2)n1)c1cnccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44040>,PubChem
66665524,9.0,C[C@]1(CO[C@@](C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16C70>,435.13183766400005,6,2,3.2682800000000016,113.39000000000001,0.3,3,11,3,O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E440B0>,PubChem
145963432,1160.0,C[C@]1(CO[C@](C(=N1)N)(C)C(F)(F)F)C2=CC(=CC=C2)NC(=O)C3=NC=C(C=C3)Br,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16CE0>,470.05652257599996,5,2,4.020000000000002,89.60000000000001,0.3157894736842105,3,10,3,O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44120>,PubChem
166626193,17.0,CC1=CC(=CN=C1C(=O)NC2=CC(=C(C=C2)F)[C@@]3(CO[C@@](C(=N3)N)(C)C(F)(F)F)C)OC,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16D50>,454.162803444,6,2,3.7136200000000015,98.83,0.38095238095238093,3,11,4,O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44190>,PubChem
89870632,9.0,C[C@]1(CO[C@@](C(=N1)N)(C)C(F)(F)F)C2=C(C=CC(=C2)NC(=O)C3=C(C=C(C=N3)OC(F)F)Cl)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16DC0>,510.089337404,6,2,4.651400000000002,98.83000000000001,0.35,3,14,5,O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44200>,PubChem
168288454,9260.0,C1CC2=NC3=C(C=C(C=C3)NC(=O)CCN4CCN(CC4)CC5=CC=CC=C5)C(=O)N2C1,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16E30>,431.23212516800004,6,1,2.4890999999999996,70.47,0.4,5,7,6,O=C(CCN1CCN(Cc2ccccc2)CC1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44270>,PubChem
168287313,10200.0,CCCSC(=O)/C=C/C1=C(C=CC(=C1)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16EA0>,238.066365308,4,2,2.780800000000002,57.53,0.25,1,4,4,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E442E0>,PubChem
168290207,3990.0,CCCSC(=O)/C=C/C1=CC(=C(C=C1)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16F10>,238.066365308,4,2,2.780800000000002,57.53,0.25,1,4,4,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44350>,PubChem
164609662,5100.0,CC1=CC2=C(C=C1NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)C(=O)N5CCCC5=N2,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16F80>,392.1040034640001,4,2,4.038120000000002,79.78,0.19047619047619047,5,7,2,O=C(Nc1ccc2nc3n(c(=O)c2c1)CCC3)c1cc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E443C0>,PubChem
164618570,5270.0,C1CC2=NC3=C(C=C(C=C3)NC(=O)CCCC4=CC5=CC=CC=C5N4)C(=O)N2C1,<rdkit.Chem.rdchem.Mol object at 0x0000026005F16FF0>,386.174275944,4,2,3.785400000000002,79.78,0.2608695652173913,5,6,5,O=C(CCCc1cc2ccccc2[nH]1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44430>,PubChem
164620793,1210.0,COC1=CC2=C(C=C1)NC(=C2)C(=O)NC3=CC4=C(C=C3)N=C5CCCN5C4=O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17060>,374.137890436,5,2,3.084900000000001,89.00999999999999,0.19047619047619047,5,7,3,O=C(Nc1ccc2nc3n(c(=O)c2c1)CCC3)c1cc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E444A0>,PubChem
164628329,1620.0,C1CC2=NC3=C(C=C(C=C3)NC(=O)CC4=CC5=CC=CC=C5N4)C(=O)N2C1,<rdkit.Chem.rdchem.Mol object at 0x0000026005F170D0>,358.142975816,4,2,3.0052000000000003,79.78,0.19047619047619047,5,6,3,O=C(Cc1cc2ccccc2[nH]1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44510>,PubChem
14989750,119160.0,CCN(CC)C(=O)/C=C/C1=CC(=C(C=C1)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17140>,235.120843404,3,2,1.9794,60.77000000000001,0.3076923076923077,1,4,4,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44580>,PubChem
164608925,10640.0,COC1=C(C=CC(=C1)/C=C/CN2CCCCC2)OCC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000026005F171B0>,337.20417910400005,3,0,4.773300000000004,21.700000000000003,0.36363636363636365,3,3,7,C(=C/c1ccc(OCc2ccccc2)cc1)\CN1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E445F0>,PubChem
164609181,9910.0,COC1=C(C=CC(=C1)C2=CN=CN2CCC(=O)NCCC3=CC=CC=C3)OCC4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17220>,455.22089178799996,5,1,4.886700000000004,65.38000000000001,0.21428571428571427,4,6,11,O=C(CCn1cncc1-c1ccc(OCc2ccccc2)cc1)NCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44660>,PubChem
164623256,10640.0,CCN(CC)C(=O)/C=C/C1=CC(=C(C=C1)OS(=O)(=O)C2=CC=C(C=C2)C)OC,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17290>,403.1453439,5,0,3.6529200000000026,72.91,0.2857142857142857,2,7,8,O=S(=O)(Oc1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E446D0>,PubChem
164623844,81560.0,COC1=C(C=CC(=C1)/C=C/C(=O)NCCC(=O)NCC2=CC=CC=C2)OCC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17300>,444.204907376,4,2,4.110100000000003,76.66,0.18518518518518517,3,6,11,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)NCCC(=O)NCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44740>,PubChem
164626564,54210.0,COC1=CC=C(C=C1)CNC(=O)CCNC(=O)/C=C/C2=CC(=C(C=C2)OCC3=CC=CC=C3)OC,<rdkit.Chem.rdchem.Mol object at 0x0000026005F17370>,474.21547205999997,5,2,4.118700000000003,85.89000000000001,0.21428571428571427,3,7,12,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)NCCC(=O)NCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E447B0>,PubChem
164626579,12380.0,CCCN(CCC)C(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=CC=C2)OC,<rdkit.Chem.rdchem.Mol object at 0x0000026005F173E0>,367.214743788,3,0,4.936000000000004,38.77,0.34782608695652173,2,4,10,c1ccc(COc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E44820>,PubChem
